#FCDC00,2180,Hansa Yellow Light
#f4e745,2180,Hansa Yellow Light 10 to 1
#f7ed58,2180,Hansa Yellow Light 3 to 1
#f9f375,2180,Hansa Yellow Light 1 to 1
#faf895,2180,Hansa Yellow Light 1 to 3
#fafbb7,2180,Hansa Yellow Light 1 to 10
#FFD500,2191,Hansa Yellow Opaque
#ffdb16,2191,Hansa Yellow Opaque 10 to 1
#ffe13b,2191,Hansa Yellow Opaque 3 to 1
#ffe75a,2191,Hansa Yellow Opaque 1 to 1
#fff08f,2191,Hansa Yellow Opaque 1 to 3
#fff6b3,2191,Hansa Yellow Opaque 1 to 10
#FFCD00,2190,Hansa Yellow Medium
#f4c818,2190,Hansa Yellow Medium 10 to 1
#f9d530,2190,Hansa Yellow Medium 3 to 1
#fce04e,2190,Hansa Yellow Medium 1 to 1
#feea72,2190,Hansa Yellow Medium 1 to 3
#fef298,2190,Hansa Yellow Medium 1 to 10
#FFB400,2147,Diarylide Yellow
#faac24,2147,Diarylide Yellow 10 to 1
#fcb230,2147,Diarylide Yellow 3 to 1
#ffbc47,2147,Diarylide Yellow 1 to 1
#ffc967,2147,Diarylide Yellow 1 to 3
#ffd88e,2147,Diarylide Yellow 1 to 10
#FFD115,2422,Primary Yellow
#ffdd00,2422,Primary Yellow 10 to 1
#ffe223,2422,Primary Yellow 3 to 1
#ffeb63,2422,Primary Yellow 1 to 1
#fff384,2422,Primary Yellow 1 to 3
#fff39c,2422,Primary Yellow 1 to 10
#FDC413,2428,Cadmium Yellow Medium Hue
#ffcc14,2428,Cadmium Yellow Medium Hue 10 to 1
#ffce14,2428,Cadmium Yellow Medium Hue 3 to 1
#ffd94a,2428,Cadmium Yellow Medium Hue 1 to 1
#ffe371,2428,Cadmium Yellow Medium Hue 1 to 3
#fff4a1,2428,Cadmium Yellow Medium Hue 1 to 10
#AF791B,2225,Nickel Azo Yellow
#b39537,2225,Nickel Azo Yellow 10 to 1
#d0ad2e,2225,Nickel Azo Yellow 3 to 1
#e8c243,2225,Nickel Azo Yellow 1 to 1
#fedc6d,2225,Nickel Azo Yellow 1 to 3
